InsID	保险名	类型	价格	适合年龄	保单形式	销售范围	适用疾病	适用职业	缴费方式	关键词
0	驾驶人意外险	意外险	低	中年|老年	电子|纸质	大陆|港澳台|海外	骨折|脑出血	室外工作	年缴|月缴|一次性	开车|驾驶|意外|装车|车祸|性价比|便宜
1	雇主责任险	意外险	低	青年|中年|老年	电子|纸质	大陆	0	室外工作|室内工作	年缴|月缴|一次性	雇主|性价比|便宜
2	航空意外险	意外险	低	幼儿|青年|中年|老年	电子	大陆|港澳台|海外	0	高危工作	年缴|月缴|一次性	航空|飞机|性价比|便宜
3	职场综合医疗保险	医疗险	低	青年|中年	电子|纸质	大陆	颈椎病|骨折|痛风	室外工作	年缴|月缴|一次性	职业病|职场|职场医疗|性价比|便宜|医疗险
4	短期综合意外险	意外险	低	青年|中年	电子|纸质	大陆|海外	骨折|非典型肺炎|腹痛	室外工作|室内工作	年缴|月缴|一次性	短期意外|短期|意外|性价比|便宜
5	旅行健康保险	意外险	低	幼儿|青年|中年|老年	电子|纸质	大陆|海外	骨折|脑出血	0	年缴|月缴|一次性	旅行|旅行健康
6	成人重大疾病保险	意外险	高	中年|老年	纸质	大陆	大部分疾病	室外工作|室内工作	年缴|月缴|一次性	重疾|重疾险|成人
7	平安道路交通意外保险	意外险	中	青年|中年|老年	电子	大陆	骨折|脑出血	高危工作	年缴|月缴|一次性	马路|道路|撞车|交通意外
8	平安稳赢今生年金保险	年金险	高	幼儿|青年|中年|老年	电子|纸质	大陆|港澳台|海外	0	0	年缴|月缴	收益|年金
9	平安英才宝贝教育年金保险（分红型）	分红型	中	幼儿|青年	电子|纸质	大陆	0	0	年缴|月缴	分红|收益|孩子|教育
10	平安行·境外留学保险	意外险	中	青年|中年|老年	纸质	大陆|港澳台|海外	0	室外工作|室内工作	年缴|月缴|一次性	境外|外国|留学
11	平安行·境外工作保险	意外险	低	青年|中年|老年	电子|纸质	大陆|港澳台|海外	骨折|脑出血	室外工作|室内工作	年缴|月缴|一次性	境外|境外工作
12	平安手机碎屏险（苹果版）	意外险	低	幼儿|青年|中年|老年	电子	大陆	0	0	年缴|月缴|一次性	屏幕|碎屏|苹果手机|苹果|apple
13	平安手机碎屏险(安卓版)	意外险	低	幼儿|青年|中年|老年	电子	大陆|港澳台|海外	0	0	年缴|月缴|一次性	屏幕|碎屏|安卓手机|安卓
14	平安个人意外伤害险	意外险	中	幼儿|青年|中年|老年	电子|纸质	大陆|港澳台|海外	骨折|脑出血	室外工作|室内工作	年缴|月缴|一次性	个人意外|意外
15	平安e生保	医疗险	中	幼儿|青年|中年|老年	电子|纸质	大陆|港澳台|海外	大部分疾病	室外工作|室内工作	年缴|月缴|一次性	医疗|门诊报销|便宜|性价比|性价比|便宜
16	家庭出行综合保险	意外险	中	幼儿|青年|中年|老年	电子|纸质	大陆|港澳台|海外	骨折|脑出血	室外工作|室内工作	年缴|月缴|一次性	家庭|全家|出行|旅行
17	女性关爱保险	医疗险	中	青年|中年|老年	电子|纸质	大陆|港澳台	大部分疾病	室外工作|室内工作	年缴|月缴|一次性	女性|医疗险
18	平安幸福定期寿险	定期寿险	低	青年|中年|老年	电子|纸质	大陆	0	0	年缴|月缴	定期寿险|身故|意外死亡
19	团体境外旅游意外险	意外险	低	幼儿|青年|中年|老年	电子|纸质	港澳台|海外	骨折|脑出血	室外工作|室内工作|高危工作	年缴|月缴	团体|跟团|境外旅游
20	团体国内旅游保险	意外险	低	幼儿|青年|中年|老年	电子|纸质	大陆	骨折|脑出血	室外工作|室内工作|高危工作	年缴|月缴|一次性	国内|旅游
21	团体交通意外险	意外险	低	幼儿|青年|中年|老年	电子|纸质	大陆|港澳台|海外	骨折|脑出血	室外工作|室内工作|高危工作	一次性	团体|交通意外
22	全球交通意外保险	意外险	低	幼儿|青年|中年|老年	电子|纸质	大陆|港澳台|海外	骨折|脑出血	室外工作|室内工作|高危工作	年缴|月缴|一次性	全球|全球交通意外
23	儿童重大疾病保险	重疾险	高	幼儿	电子|纸质	大陆|港澳台	重大疾病	0	年缴|月缴|一次性	儿童|孩子|重疾|少儿|小孩子|幼儿
24	儿童综合医疗保险	医疗险	中	幼儿	电子|纸质	大陆|港澳台	大部分疾病	0	年缴|月缴|一次性	儿童|孩子|综合|少儿|小孩子|幼儿
25	住院医疗保险	医疗险	中	幼儿|青年|中年|老年	电子|纸质	大陆	大部分疾病	室外工作|室内工作	年缴|月缴|一次性	住院|医疗
26	企业团体综合意外险	意外险	中	青年|中年|老年	电子|纸质	大陆|港澳台|海外	骨折|脑出血	室外工作|室内工作|高危工作	月缴	企业团体|意外险
27	中老年人综合医疗保险	医疗险	中	老年	电子|纸质	大陆|港澳台	大部分疾病	室外工作|室内工作	年缴|月缴|一次性	中老年|医疗|老年|老年人
28	一年期重大疾病保险	重疾险	高	幼儿|青年|中年|老年	电子|纸质	大陆|港澳台|海外	重大疾病	室外工作|室内工作	一次性	一年|重疾
29	一年期意外险	意外险	低	幼儿|青年|中年|老年	电子|纸质	大陆|港澳台|海外	骨折|脑出血	室外工作|室内工作|高危工作	年缴|月缴|一次性	一年|意外
